# Copyright (c) 2026 Greg Turner <gmt@be-evil.net>
# Command	Context	zmux-status
attach-session	client	implemented
bind-key	none	unsupported
break-pane	pane	unsupported
capture-pane	pane	unsupported
choose-buffer	pane	unsupported
choose-client	pane	unsupported
choose-tree	pane	unsupported
clear-history	pane	unsupported
clear-prompt-history	none	unsupported
clock-mode	pane	unsupported
command-prompt	client	unsupported
confirm-before	client	unsupported
copy-mode	pane	unsupported
customize-mode	pane	unsupported
delete-buffer	none	unsupported
detach-client	client	implemented
display-menu	client	unsupported
display-message	pane	implemented
display-popup	client	unsupported
display-panes	client	unsupported
find-window	pane	unsupported
has-session	session	implemented
if-shell	pane	unsupported
join-pane	pane	unsupported
kill-pane	pane	unsupported
kill-server	none	implemented
kill-session	session	implemented
kill-window	window	unsupported
last-pane	window	unsupported
last-window	session	unsupported
link-window	window	unsupported
list-buffers	none	unsupported
list-clients	client	implemented
list-commands	none	unsupported
list-keys	none	unsupported
list-panes	window	implemented
list-sessions	none	implemented
list-windows	session	implemented
load-buffer	none	unsupported
lock-client	client	unsupported
lock-server	none	unsupported
lock-session	session	unsupported
move-pane	pane	unsupported
move-window	window	unsupported
new-session	session	implemented
new-window	session	implemented
next-layout	window	unsupported
next-window	session	unsupported
paste-buffer	pane	unsupported
pipe-pane	pane	unsupported
previous-layout	window	unsupported
previous-window	session	unsupported
refresh-client	client	implemented
rename-session	session	unsupported
rename-window	window	unsupported
resize-pane	pane	unsupported
resize-window	window	unsupported
respawn-pane	pane	unsupported
respawn-window	window	unsupported
rotate-window	window	unsupported
run-shell	pane	unsupported
save-buffer	none	unsupported
select-layout	pane	unsupported
select-pane	pane	unsupported
select-window	window	implemented
send-keys	pane	implemented
send-prefix	pane	implemented
server-access	pane	unsupported
set-buffer	none	unsupported
set-environment	session	unsupported
set-hook	pane	unsupported
set-option	pane	unsupported
set-window-option	window	unsupported
show-buffer	none	unsupported
show-environment	session	unsupported
show-hooks	pane	unsupported
show-messages	client	unsupported
show-options	pane	unsupported
show-prompt-history	none	unsupported
show-window-options	window	unsupported
source-file	none	unsupported
split-window	pane	unsupported
start-server	none	implemented
suspend-client	client	unsupported
swap-pane	pane	unsupported
swap-window	window	unsupported
switch-client	client	implemented
unbind-key	none	unsupported
unlink-window	window	unsupported
wait-for	none	unsupported
